pais,data,total_casos,novos_casos,novos_casos_padronizados,total_mortes,novas_mortes,novas_mortes_padronizadas,novos_casos_pmilhao,novas_mortes_pmilhao,total_vacinacao,pessoas_vacinadas,pessoas_totalmente_vacinadas,novas_vacinas_aplicadas,novas_vacinas_padronizadas,novas_pessoas_vacinadas_padr
Brazil,2022-01-24,24142032.0,87627.0,150360.429,623636.0,266.0,308.286,409.485,1.243,354878131.0,168341120.0,148929430.0,1925921.0,1078409.0,144410.0
Brazil,2022-01-23,24054405.0,122796.0,148468.143,623370.0,179.0,291.857,573.831,0.836,352952210.0,168090877.0,148571660.0,207305.0,1371363.0,142532.0
Brazil,2022-01-22,23931609.0,165110.0,135679.714,623191.0,316.0,279.714,771.566,1.477,352744905.0,168014778.0,148534163.0,1258929.0,1780427.0,157934.0
Brazil,2022-01-21,23766499.0,171321.0,119030.0,622875.0,399.0,258.857,800.59,1.865,351485976.0,167875050.0,148225622.0,856708.0,1642430.0,143529.0
Brazil,2022-01-20,23595178.0,169786.0,110428.714,622476.0,351.0,235.143,793.417,1.64,350629268.0,167751970.0,148043971.0,1134036.0,1624605.0,131233.0
Brazil,2022-01-19,23425392.0,195541.0,100165.714,622125.0,322.0,212.0,913.771,1.505,349495232.0,167547304.0,147737978.0,1330579.0,1587016.0,110731.0
Brazil,2022-01-18,23229851.0,140342.0,84784.571,621803.0,325.0,185.143,655.824,1.519,348164653.0,167385859.0,147536850.0,835382.0,1501355.0,88029.0
Brazil,2022-01-17,23089509.0,74381.0,75200.714,621478.0,151.0,158.857,347.585,0.706,347329271.0,167330250.0,147223765.0,3976605.0,1500479.0,88139.0
Brazil,2022-01-16,23015128.0,33277.0,69420.714,621327.0,94.0,153.714,155.505,0.439,343352666.0,167093156.0,146291728.0,3070751.0,1087106.0,67806.0
Brazil,2022-01-15,22981851.0,48562.0,68903.714,621233.0,170.0,185.143,226.932,0.794,340281915.0,166909237.0,145459361.0,292952.0,723965.0,46630.0
Brazil,2022-01-14,22933289.0,111112.0,69009.571,621063.0,233.0,177.286,519.231,1.089,339988963.0,166870347.0,145379254.0,731927.0,757652.0,46172.0
Brazil,2022-01-13,22822177.0,97945.0,62178.143,620830.0,189.0,168.0,457.701,0.883,339257036.0,166833338.0,145252463.0,870918.0,728628.0,45984.0
Brazil,2022-01-12,22724232.0,87873.0,53304.0,620641.0,134.0,141.0,410.634,0.626,338386118.0,166772188.0,145005051.0,730947.0,679749.0,42346.0
Brazil,2022-01-11,22636359.0,73255.0,44015.286,620507.0,141.0,121.857,342.324,0.659,337655171.0,166769657.0,144866950.0,829251.0,678834.0,48955.0
Brazil,2022-01-10,22563104.0,33921.0,36289.0,620366.0,115.0,127.571,158.514,0.537,336825920.0,166713275.0,144723824.0,1082998.0,678443.0,56089.0
Brazil,2022-01-09,22529183.0,29658.0,33108.0,620251.0,314.0,121.429,138.593,1.467,335742922.0,166618516.0,144380523.0,,629585.0,58829.0
Brazil,2022-01-08,22499525.0,49303.0,29129.143,619937.0,115.0,81.429,230.395,0.537,,,,,560272.0,54789.0
Brazil,2022-01-07,22450222.0,63292.0,22626.143,619822.0,168.0,69.714,295.766,0.785,,,,,487356.0,50234.0
Brazil,2022-01-06,22386930.0,35826.0,15040.143,619654.0,0.0,57.857,167.416,0.0,,,,,427514.0,46546.0
Brazil,2022-01-05,22351104.0,22852.0,11724.714,619654.0,0.0,79.857,106.788,0.0,333627875.0,166475764.0,143877220.0,724543.0,415631.0,47483.0
Brazil,2022-01-04,22328252.0,19171.0,9854.571,619654.0,181.0,96.571,89.587,0.846,332903332.0,166426973.0,143762375.0,826514.0,434515.0,52103.0
Brazil,2022-01-03,22309081.0,11654.0,8409.0,619473.0,72.0,96.571,54.46,0.336,332076818.0,166320650.0,143723393.0,740992.0,437922.0,52659.0
Brazil,2022-01-02,22297427.0,1806.0,7737.286,619401.0,34.0,95.571,8.44,0.159,331335826.0,166206716.0,143462401.0,43567.0,351262.0,38444.0
Brazil,2022-01-01,22295621.0,3782.0,8189.143,619367.0,33.0,97.286,17.673,0.154,331292259.0,166199307.0,143441284.0,18349.0,364234.0,39448.0
Brazil,2021-12-31,22291839.0,10190.0,8173.714,619334.0,85.0,97.0,47.618,0.397,331273910.0,166195505.0,143436012.0,109869.0,380809.0,40966.0
Brazil,2021-12-30,22281649.0,12618.0,7243.714,619249.0,154.0,108.143,58.964,0.72,331164041.0,166185628.0,143398692.0,445584.0,384309.0,41617.0
Brazil,2021-12-29,22269031.0,9761.0,5980.286,619095.0,117.0,104.143,45.614,0.547,330718457.0,166143380.0,143282084.0,856727.0,450814.0,43848.0
Brazil,2021-12-28,22259270.0,9052.0,5046.714,618978.0,181.0,108.286,42.3,0.846,329861730.0,166062249.0,142965728.0,850365.0,503738.0,72526.0
Brazil,2021-12-27,22250218.0,6952.0,4287.0,618797.0,65.0,92.571,32.487,0.304,329011365.0,165952037.0,142764283.0,,488269.0,68678.0
Brazil,2021-12-26,22243266.0,4969.0,3670.857,618732.0,46.0,95.143,23.22,0.215,,,,,575759.0,74246.0
Brazil,2021-12-25,22238297.0,3674.0,3169.286,618686.0,31.0,96.429,17.169,0.145,,,,,563419.0,73430.0
Brazil,2021-12-24,22234623.0,3680.0,2984.571,618655.0,163.0,111.714,17.197,0.762,,,,,574100.0,73538.0
Brazil,2021-12-23,22230943.0,3774.0,3082.143,618492.0,126.0,116.714,17.636,0.589,328473878.0,165894312.0,,911122.0,663255.0,87899.0
Brazil,2021-12-22,22227169.0,3226.0,3066.0,618366.0,146.0,116.286,15.075,0.682,327562756.0,165836442.0,142378728.0,1227191.0,665781.0,100180.0
Brazil,2021-12-21,22223943.0,3734.0,3330.571,618220.0,71.0,138.0,17.449,0.332,326335565.0,165554570.0,141915573.0,742080.0,676308.0,88661.0
Brazil,2021-12-20,22220209.0,2639.0,3422.714,618149.0,83.0,144.0,12.332,0.388,325593485.0,165471288.0,141702263.0,746805.0,693650.0,77311.0
Brazil,2021-12-19,22217570.0,1458.0,3441.429,618066.0,55.0,138.571,6.813,0.257,324846680.0,165417886.0,141488098.0,47994.0,676319.0,70228.0
Brazil,2021-12-18,22216112.0,2381.0,3463.857,618011.0,138.0,142.429,11.127,0.645,324798686.0,165409165.0,141474540.0,209137.0,688367.0,69529.0
Brazil,2021-12-17,22213731.0,4363.0,3507.143,617873.0,198.0,130.286,20.388,0.925,324589549.0,165393977.0,141411665.0,758454.0,692922.0,67906.0
Brazil,2021-12-16,22209368.0,3661.0,3893.143,617675.0,123.0,134.571,17.108,0.575,323831095.0,165279022.0,141175069.0,928805.0,718834.0,52031.0
Brazil,2021-12-15,22205707.0,5078.0,4620.571,617552.0,298.0,145.571,23.73,1.393,322902290.0,165135181.0,140902990.0,1300883.0,775439.0,47822.0
Brazil,2021-12-14,22200629.0,4379.0,5342.571,617254.0,113.0,137.286,20.463,0.528,321601407.0,164933940.0,140151965.0,863469.0,703482.0,31742.0
Brazil,2021-12-13,22196250.0,2770.0,6165.0,617141.0,45.0,158.429,12.944,0.21,320737938.0,,139783903.0,625488.0,745662.0,46475.0
Brazil,2021-12-12,22193480.0,1615.0,6628.857,617096.0,82.0,170.857,7.547,0.383,320112450.0,,139421689.0,132333.0,785747.0,48079.0
Brazil,2021-12-11,22191865.0,2684.0,7068.571,617014.0,53.0,169.286,12.542,0.248,319980117.0,,139389518.0,241022.0,789905.0,54123.0
Brazil,2021-12-10,22189181.0,7065.0,7743.286,616961.0,228.0,182.571,33.015,1.065,319739095.0,,139320682.0,939835.0,867724.0,65877.0
Brazil,2021-12-09,22182116.0,8753.0,8251.429,616733.0,200.0,183.429,40.903,0.935,318799260.0,164914808.0,138924356.0,1325043.0,978410.0,89192.0
Brazil,2021-12-08,22173363.0,10132.0,8705.429,616533.0,240.0,182.857,47.347,1.122,317474217.0,164800426.0,138249795.0,797187.0,957675.0,91555.0
Brazil,2021-12-07,22163231.0,10136.0,9012.571,616293.0,261.0,186.857,47.366,1.22,316677030.0,164711745.0,137905915.0,1158728.0,1027203.0,112178.0
Brazil,2021-12-06,22153095.0,6017.0,9033.857,616032.0,132.0,196.143,28.118,0.617,315518302.0,164604790.0,137355248.0,906081.0,1100068.0,128311.0
Brazil,2021-12-05,22147078.0,4693.0,8815.571,615900.0,71.0,194.143,21.931,0.332,314612221.0,164589731.0,136905306.0,161441.0,1004119.0,129284.0
Brazil,2021-12-04,22142385.0,7407.0,8650.286,615829.0,146.0,195.429,34.613,0.682,314450780.0,164543599.0,136830588.0,785750.0,1035066.0,133764.0
Brazil,2021-12-03,22134978.0,10622.0,8779.143,615683.0,234.0,207.0,49.637,1.093,313665030.0,164457496.0,136438552.0,1714641.0,989021.0,130099.0
Brazil,2021-12-02,22124356.0,11931.0,8815.857,615449.0,196.0,217.143,55.754,0.916,311950389.0,164290464.0,135324508.0,1179894.0,921029.0,135378.0
Brazil,2021-12-01,22112425.0,12282.0,8866.143,615253.0,268.0,230.286,57.394,1.252,310770495.0,164159539.0,134636857.0,1283888.0,873043.0,134726.0
Brazil,2021-11-30,22100143.0,10285.0,8862.143,614985.0,326.0,230.714,48.062,1.523,309486607.0,163926497.0,133911230.0,1668782.0,853025.0,116853.0
Brazil,2021-11-29,22089858.0,4489.0,9170.0,614659.0,118.0,226.286,20.977,0.551,307817825.0,163706613.0,133029594.0,234438.0,783822.0,106975.0
Brazil,2021-11-28,22085369.0,3536.0,9120.286,614541.0,80.0,227.429,16.524,0.374,307583387.0,163684746.0,132895365.0,378069.0,914376.0,124595.0
Brazil,2021-11-27,22081833.0,8309.0,9342.0,614461.0,227.0,229.714,38.828,1.061,307205318.0,163607249.0,132667094.0,463436.0,947404.0,131210.0
Brazil,2021-11-26,22073524.0,10879.0,9328.571,614234.0,305.0,226.857,50.838,1.425,306741882.0,163546806.0,132395866.0,1238694.0,1001021.0,141758.0
Brazil,2021-11-25,22062645.0,12283.0,9542.0,613929.0,288.0,217.286,57.399,1.346,305503188.0,163342820.0,131709249.0,843991.0,1007923.0,135020.0
Brazil,2021-11-24,22050362.0,12254.0,9416.143,613641.0,271.0,215.0,57.263,1.266,304659197.0,163216460.0,131215922.0,1143767.0,1057995.0,136989.0
Brazil,2021-11-23,22038108.0,12440.0,9538.714,613370.0,295.0,230.143,58.133,1.379,303515430.0,163108526.0,130530871.0,1184361.0,1127258.0,154349.0
Brazil,2021-11-22,22025668.0,4141.0,8699.857,613075.0,126.0,208.429,19.351,0.589,302331069.0,162957786.0,129832016.0,1148316.0,1057549.0,140666.0
Brazil,2021-11-21,22021527.0,5088.0,8500.143,612949.0,96.0,200.429,23.776,0.449,301182753.0,162812584.0,129200205.0,609264.0,977596.0,129156.0
Brazil,2021-11-20,22016439.0,8215.0,8387.857,612853.0,207.0,196.0,38.389,0.967,300573489.0,162688776.0,128851409.0,838756.0,948149.0,124937.0
Brazil,2021-11-19,22008224.0,12373.0,8551.143,612646.0,238.0,210.286,57.82,1.112,299734733.0,162554502.0,128377050.0,1287004.0,925889.0,115907.0
Brazil,2021-11-18,21995851.0,11402.0,8869.143,612408.0,272.0,265.0,53.282,1.271,298447729.0,162397679.0,127639599.0,1194499.0,918074.0,100984.0
Brazil,2021-11-17,21984449.0,13112.0,9460.0,612136.0,377.0,260.429,61.273,1.762,297253230.0,162257537.0,126961439.0,1628608.0,974816.0,120680.0
Brazil,2021-11-16,21971337.0,6568.0,9726.857,611759.0,143.0,245.0,30.693,0.668,295624622.0,162028086.0,125915845.0,696395.0,952632.0,121230.0
Brazil,2021-11-15,21964769.0,2743.0,10475.714,611616.0,70.0,254.286,12.818,0.327,294928227.0,161973124.0,125467475.0,588644.0,1056631.0,143019.0
Brazil,2021-11-14,21962026.0,4302.0,11066.857,611546.0,65.0,261.429,20.103,0.304,294339583.0,161908494.0,125123667.0,403137.0,1199494.0,171516.0
Brazil,2021-11-13,21957724.0,9358.0,11261.0,611481.0,307.0,262.143,43.73,1.435,293936446.0,161814220.0,124872035.0,682938.0,1222609.0,198610.0
Brazil,2021-11-12,21948366.0,14599.0,11520.286,611174.0,621.0,261.571,68.222,2.902,293253508.0,161743151.0,124416550.0,1232298.0,1224222.0,201321.0
Brazil,2021-11-11,21933767.0,15538.0,11291.571,610553.0,240.0,227.429,72.61,1.122,292021210.0,161690791.0,123598784.0,1591689.0,1337059.0,233531.0
Brazil,2021-11-10,21918229.0,14980.0,10964.286,610313.0,269.0,255.143,70.002,1.257,290429521.0,161412780.0,122635903.0,1473326.0,1314414.0,231494.0
Brazil,2021-11-09,21903249.0,11810.0,11154.286,610044.0,208.0,243.857,55.189,0.972,288956195.0,161179478.0,121738604.0,1424384.0,1253571.0,215930.0
Brazil,2021-11-08,21891439.0,6881.0,10312.571,609836.0,120.0,235.857,32.155,0.561,287531811.0,160971992.0,120880423.0,1588687.0,1081796.0,191502.0
Brazil,2021-11-07,21884558.0,5661.0,9990.429,609716.0,70.0,233.429,26.454,0.327,285943124.0,160707880.0,119901571.0,564943.0,896713.0,159818.0
Brazil,2021-11-06,21878897.0,11173.0,10057.429,609646.0,303.0,242.429,52.212,1.416,285378181.0,160423951.0,119655284.0,694228.0,873291.0,129386.0
Brazil,2021-11-05,21867724.0,12998.0,9891.571,609343.0,382.0,230.0,60.74,1.785,284683953.0,160333906.0,119243098.0,2022153.0,856749.0,131570.0
Brazil,2021-11-04,21854726.0,13247.0,9846.286,608961.0,434.0,233.714,61.904,2.028,282661800.0,160056071.0,117929773.0,1433175.0,800610.0,126392.0
Brazil,2021-11-03,21841479.0,16310.0,9909.0,608527.0,190.0,225.0,76.217,0.888,281228625.0,159792323.0,117020085.0,1047425.0,827453.0,128810.0
Brazil,2021-11-02,21825169.0,5918.0,10025.286,608337.0,152.0,260.0,27.655,0.71,280181200.0,159667965.0,116399784.0,221959.0,922989.0,149757.0
Brazil,2021-11-01,21819251.0,4626.0,11086.286,608185.0,103.0,295.857,21.617,0.481,279959241.0,159631476.0,116288959.0,293110.0,1156757.0,192879.0
Brazil,2021-10-31,21814625.0,6130.0,11543.571,608082.0,133.0,310.714,28.646,0.622,279666131.0,159589151.0,116117550.0,400990.0,1460518.0,228975.0
